soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label
6.3,525,74,3200,29.1,88,Ampalaya
6.7,530,74,3000,29.5,92,Ampalaya
5.5,455,85,1150,27.1,85,Avocado
6.1,415,79,1750,28.3,83,Avocado
6.2,440,80,1450,28.1,88,Avocado
5.9,430,82,1500,27.0,80,Avocado
5.7,425,85,1100,26.9,81,Avocado
5.5,410,86,1300,26.7,82,Avocado
5.6,460,84,1000,27.5,85,Avocado
6.0,450,83,950,27.8,86,Avocado
4.0,632,62,8077,29.5,99,Bamboo
5.4,470,83,1300,27.9,90,Banana
4.0,771,79,8280,28.8,99,Banana
4.5,810,66,9337,29.3,99,Banana
5.6,440,85,900,26.9,85,Black Pepper
6.6,535,75,2600,28.7,94,Bush Sitao
5.6,440,85,900,26.9,85,Cacao
5.7,400,86,850,27.0,87,Cacao
5.6,425,88,900,26.8,85,Cacao
5.5,410,89,800,26.6,89,Cacao
5.8,430,84,1000,27.3,88,Cacao
5.9,405,85,950,27.1,86,Cacao
5.5,415,87,750,26.5,84,Cacao
5.7,420,83,1050,27.2,85,Cacao
6.0,517,88,1094,28.5,99,Cassava
5.5,450,86,700,26.5,87,Calamansi
6.5,475,80,1215,27.0,99,Coconut
6.2,480,82,1500,27.5,90,Coconut
6.3,460,78,1800,28.2,90,Coconut
6.1,510,83,1400,28.0,98,Coconut
5.7,445,84,980,27.2,86,Coconut
6.0,355,70,12571,33.9,99,Coconut
6.2,480,82,1500,27.5,90,Maize
5.3,520,77,2800,28.8,86,Maize
6.0,515,78,2750,28.4,89,Maize
6.5,475,80,1215,27.0,99,Coffee
5.5,450,86,700,26.5,87,Coffee
6.2,410,78,2200,28.4,83,Cowpea
5.5,485,76,2400,28.9,87,Eggplant
6.8,405,79,1900,28.0,84,Forage Grass
6.3,460,78,1800,28.2,90,Ginger
5.5,455,85,1150,27.1,85,Ginger
6.4,500,80,1900,27.7,93,Ginger
6.2,530,79,2400,28.2,91,Ginger
6.0,525,81,2000,27.8,94,Ginger
6.1,515,77,2500,28.4,88,Ginger
6.5,490,80,1800,28.0,92,Ginger
6.3,505,78,2200,27.5,90,Ginger
5.9,485,83,1500,26.9,89,Ginger
6.8,405,79,1900,28.0,84,Ipil Ipil
5.7,470,84,1050,27.4,89,Jackfruit
6.0,517,88,1094,28.5,99,Mango
6.0,400,80,1000,27.9,80,Mango
5.8,490,85,850,26.8,85,Lanzones
5.9,505,84,1100,27.3,88,Lanzones
3.5,898,67,4316,30.7,99,Lanzones
5.8,490,85,850,26.8,85,Rambutan
