soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label
6.3,525.0,74,3200,29.1,88,Ampalaya
6.7,530.0,74,3000,29.5,92,Ampalaya
6.5,523.0,73,4955,29.2,87,Ampalaya
6.5,531.0,73,3937,29.2,87,Ampalaya
6.5,523.3,76,3691,29.0,87,Ampalaya
6.6,527.6,74,4981,30.2,87,Ampalaya
6.2,532.0,73,3469,30.6,87,Ampalaya
6.6,531.4,75,4765,30.2,87,Ampalaya
6.8,523.0,74,4159,30.6,87,Ampalaya
6.4,523.0,75,3461,30.1,87,Ampalaya
6.4,532.0,75,2952,30.4,87,Ampalaya
6.4,529.4,76,4379,29.8,87,Ampalaya
6.7,530.9,74,3572,30.4,87,Ampalaya
6.4,525.1,76,3961,30.5,87,Ampalaya
6.6,523.0,74,2894,30.1,87,Ampalaya
6.6,524.4,74,3262,31.0,87,Ampalaya
6.3,528.8,73,4266,30.8,87,Ampalaya
6.6,527.3,73,3223,30.5,87,Ampalaya
6.4,532.0,73,3394,30.3,87,Ampalaya
6.2,523.0,75,3335,31.0,87,Ampalaya
6.5,528.6,74,2988,29.7,87,Ampalaya
6.1,532.0,76,4145,30.4,87,Ampalaya
6.2,525.9,75,4108,30.5,87,Ampalaya
6.7,527.5,74,3436,30.6,87,Ampalaya
6.4,523.0,74,3473,31.0,87,Ampalaya
6.4,523.3,75,3499,31.0,87,Ampalaya
6.8,531.9,73,3617,31.0,87,Ampalaya
6.5,530.5,74,3942,31.0,87,Ampalaya
6.4,532.0,74,5000,30.5,87,Ampalaya
6.4,532.0,74,2851,31.0,87,Ampalaya
6.5,523.0,75,3693,31.0,87,Ampalaya
6.4,532.0,75,3928,31.0,87,Ampalaya
6.1,531.7,76,3142,31.0,87,Ampalaya
6.4,530.5,73,2887,31.0,87,Ampalaya
6.5,525.3,74,2859,31.0,87,Ampalaya
6.6,526.0,75,3522,31.0,87,Ampalaya
6.6,530.5,74,2298,29.9,87,Ampalaya
6.4,523.0,74,3151,31.0,87,Ampalaya
6.4,532.0,73,3331,31.0,87,Ampalaya
6.6,523.0,73,4829,31.0,87,Ampalaya
6.2,531.2,73,3724,30.6,87,Ampalaya
6.5,532.0,76,4187,31.0,87,Ampalaya
6.5,523.0,75,4099,30.6,87,Ampalaya
6.3,523.0,74,2623,29.7,87,Ampalaya
6.6,532.0,74,4321,29.9,87,Ampalaya
6.5,525.7,74,2443,29.3,87,Ampalaya
6.5,524.9,74,4082,30.2,87,Ampalaya
6.4,523.0,73,3224,30.6,87,Ampalaya
6.4,532.0,74,3722,29.9,87,Ampalaya
6.4,526.2,73,3198,29.6,87,Ampalaya
6.2,523.0,74,3809,30.4,87,Ampalaya
6.4,529.7,73,3613,29.8,87,Ampalaya
6.7,531.8,76,3664,29.8,87,Ampalaya
6.4,529.6,75,4606,29.6,87,Ampalaya
6.4,526.9,74,4779,29.3,87,Ampalaya
6.5,525.1,74,3301,28.9,87,Ampalaya
6.6,523.0,76,3873,29.7,87,Ampalaya
6.3,530.8,72,3975,29.2,87,Ampalaya
6.3,532.0,75,2458,29.0,87,Ampalaya
6.5,527.1,74,3170,29.2,87,Ampalaya
6.5,523.0,72,2000,29.1,87,Ampalaya
6.8,523.0,73,4235,29.2,87,Ampalaya
6.5,524.0,76,4974,29.3,87,Ampalaya
6.4,526.6,73,4844,28.0,87,Ampalaya
6.6,532.0,74,3576,28.8,87,Ampalaya
6.7,523.0,76,3993,28.9,87,Ampalaya
6.5,528.3,77,5000,28.8,87,Ampalaya
6.5,523.0,73,4483,28.7,87,Ampalaya
6.7,523.0,74,3947,28.0,87,Ampalaya
6.2,523.0,74,4601,28.0,87,Ampalaya
6.6,530.0,75,4098,28.0,87,Ampalaya
6.9,532.0,72,2949,28.0,87,Ampalaya
6.4,523.0,74,2836,28.5,87,Ampalaya
6.4,532.0,72,3324,28.0,87,Ampalaya
6.6,523.0,76,3271,28.1,87,Ampalaya
6.4,526.7,76,3650,28.0,87,Ampalaya
6.2,530.7,74,3870,28.6,87,Ampalaya
6.6,525.6,75,3310,28.2,87,Ampalaya
6.3,523.0,74,4694,28.1,87,Ampalaya
6.1,523.0,74,3655,28.3,87,Ampalaya
6.2,526.8,74,4550,28.3,87,Ampalaya
6.5,531.5,75,3452,29.0,87,Ampalaya
6.5,529.9,75,3677,28.1,87,Ampalaya
6.7,523.0,74,4269,28.6,87,Ampalaya
6.4,526.9,74,2753,28.1,87,Ampalaya
6.2,532.0,75,2878,28.8,87,Ampalaya
6.2,532.0,73,2874,28.5,87,Ampalaya
6.5,523.0,73,4426,28.3,87,Ampalaya
6.5,523.0,73,3058,28.0,87,Ampalaya
6.3,523.0,73,3393,28.9,87,Ampalaya
6.6,523.6,74,2882,29.5,87,Ampalaya
6.5,524.3,73,3464,28.5,87,Ampalaya
6.7,526.3,74,3465,29.5,87,Ampalaya
6.7,523.5,75,2555,28.3,87,Ampalaya
6.4,530.9,74,4240,29.1,87,Ampalaya
6.4,523.0,73,2888,28.7,87,Ampalaya
6.5,523.0,72,3229,29.7,87,Ampalaya
6.4,523.9,72,3701,30.0,87,Ampalaya
5.5,455.0,85,1150,27.1,85,Avocado
6.1,415.0,79,1750,28.3,83,Avocado
6.2,440.0,80,1450,28.1,88,Avocado
5.9,430.0,82,1500,27.0,80,Avocado
5.7,425.0,85,1100,26.9,81,Avocado
5.5,410.0,86,1300,26.7,82,Avocado
5.6,460.0,84,1000,27.5,85,Avocado
6.0,450.0,83,950,27.8,86,Avocado
5.9,444.0,83,1789,26.9,79,Avocado
5.9,425.3,83,1495,27.4,81,Avocado
5.9,438.1,86,1619,28.5,79,Avocado
5.9,439.5,85,1170,27.7,79,Avocado
5.9,434.4,82,1635,28.1,80,Avocado
5.8,429.0,84,1800,28.5,82,Avocado
5.9,432.3,84,1455,28.1,82,Avocado
6.0,433.1,83,1190,28.5,81,Avocado
5.8,437.8,83,1618,27.5,80,Avocado
6.1,434.1,80,1340,27.8,80,Avocado
5.8,442.2,84,1439,28.7,83,Avocado
6.0,430.7,82,1661,28.5,79,Avocado
5.8,427.5,83,1500,28.8,83,Avocado
5.8,441.4,82,1727,29.0,80,Avocado
5.8,437.7,82,1800,28.5,83,Avocado
5.7,430.6,84,1552,28.2,81,Avocado
6.0,444.4,82,1537,29.0,80,Avocado
5.8,436.7,81,1469,29.0,79,Avocado
5.9,434.9,83,1426,29.0,81,Avocado
5.8,426.5,84,1129,27.7,83,Avocado
5.9,429.5,84,1231,28.7,79,Avocado
5.9,433.0,82,1318,28.3,80,Avocado
5.8,438.9,81,1580,29.0,81,Avocado
5.9,425.6,86,1636,28.8,83,Avocado
5.8,430.9,84,1405,29.0,79,Avocado
6.0,429.6,83,1664,29.0,79,Avocado
5.8,441.3,83,1371,28.7,81,Avocado
5.9,427.4,82,1775,29.0,81,Avocado
5.7,438.5,85,1605,28.6,84,Avocado
6.1,431.6,83,1619,29.0,79,Avocado
5.7,429.2,82,1657,28.9,82,Avocado
5.9,439.8,83,1631,28.3,81,Avocado
5.9,432.1,84,1800,28.4,79,Avocado
5.8,426.6,84,1575,28.0,83,Avocado
6.0,430.5,83,1403,29.0,79,Avocado
6.0,439.2,83,1350,27.8,83,Avocado
6.0,436.2,80,1227,27.9,82,Avocado
5.8,442.2,84,1363,28.8,83,Avocado
6.0,429.5,82,1562,28.2,79,Avocado
5.9,429.2,82,1606,27.9,82,Avocado
6.1,433.8,84,1545,28.2,82,Avocado
6.0,435.8,84,1482,27.6,84,Avocado
6.0,439.1,82,1276,27.8,81,Avocado
5.8,435.8,83,1341,27.3,83,Avocado
5.9,433.9,82,1686,27.8,80,Avocado
5.7,428.7,83,1602,27.2,80,Avocado
5.9,440.2,82,1789,27.8,79,Avocado
5.9,440.5,85,1700,27.8,81,Avocado
6.0,432.6,84,1753,26.8,82,Avocado
6.0,450.0,84,1235,27.2,83,Avocado
5.8,445.2,82,1350,27.0,81,Avocado
5.9,431.2,83,1000,27.0,83,Avocado
5.7,428.2,82,1505,27.1,79,Avocado
